village_code,village_name,subdistrict_code,num_households,centre_lat,centre_long,ne_lat, ne_long,sw_lat,sw_long
143639,Chamartaliya,822,155.0,26.763918,81.1678592,26.7680401,81.17667,26.7588,81.1619301
143748,Dedhari,822,261.0,26.5900525,81.0520052,26.5965499,81.06345,26.5840499,81.0437199
143643,Shikatnagar,822,176.0,26.7477609,81.1899071,26.7524901,81.1928301,26.7409699,81.18005
143645,Rahmatnagar,822,687.0,26.7422606,81.1719936,26.7551,81.18236,26.7372501,81.1540199
143646,Mohammaadpur Garhi,822,432.0,26.7302273,81.166481,26.7424,81.1853799,26.7221599,81.15128
143647,Gomi Khera,822,249.0,26.7197406,81.1623462,26.72862,81.1728,26.71437,81.1554901
143648,Salempur,822,1327.0,26.293939,83.9241376,26.3101119,83.9366198,26.286066,83.9069223
143649,Mahurakala,822,599.0,26.7247171,81.1251235,26.74327,81.1390199,26.71769,81.1083501
143651,Panjsara,822,251.0,26.7118261,81.1292603,26.71898,81.13628,26.70773,81.1202599
143652,Kapera Madarpur,822,440.0,26.7044336,81.1278814,26.70994,81.14703,26.6952101,81.1173
143654,Sarai Gopauli,822,318.0,26.7027024,81.1002985,26.71399,81.11059,26.69748,81.0885799
143655,Bhaurakalla,822,162.0,26.6906658,81.0947808,26.7004101,81.10486,26.6811199,81.0844999
143656,Kewali,822,353.0,25.3628006,82.8667544,25.37326,82.8766299,25.3545201,82.8587701
143657,Karsanda,822,129.0,26.6923977,81.1223656,26.70262,81.12731,26.68795,81.1165
143660,Selhu Mau,822,311.0,26.6813978,81.1333968,26.6884301,81.14536,26.67183,81.12215
143661,Bhamai Mau,822,226.0,26.6879334,81.1444264,26.6952101,81.1508199,26.6788599,81.1379001
143664,Akarhandoo,822,254.0,26.6580141,81.1333968,26.66651,81.1407,26.65002,81.12516
143665,Hardoeya,822,481.0,26.6648943,81.1499406,26.67649,81.16982,26.65233,81.1395001
143667,Dulhapur Husainabad,822,489.0,26.6463214,81.1333968,26.6567899,81.1506599,26.63012,81.1180299
143669,Sahzadepur,822,161.0,26.7080504,81.1623462,26.7164101,81.17631,26.69901,81.15534
143670,Rasoolpur Ashik Ali,822,362.0,26.7192252,81.1775059,26.7279001,81.18814,26.7108899,81.1703999
143671,Adampur Naubasta,822,870.0,26.706155,81.2023063,26.7223199,81.21758,26.6889701,81.18247
178488,Piraila Narharia,937,450.0,27.0983352,82.5963344,27.10217,82.6053801,27.0932299,82.58681
178489,Tenduhna,937,101.0,27.0940736,82.5848464,27.09737,82.58707,27.0906199,82.5827401
178490,Chitir Gawan,937,363.0,27.0947862,82.5983615,27.101,82.6069,27.08787,82.58578
143675,Ghor Sara,822,359.0,26.6728024,81.1830178,26.68034,81.1924201,26.6605901,81.17476
178492,Alhe Kuinyan,937,110.0,27.0897897,82.6145761,27.0951099,82.6244401,27.08714,82.6041599
143677,Mohiddeenpur,822,166.0,26.7352467,80.9912514,26.7403798,80.99902,26.7277201,80.9873
143679,Pooran Pur,822,209.0,26.7318315,81.0064442,26.7423201,81.01254,26.7253299,80.99546
178496,Chandokha,937,311.0,27.0762397,82.5794396,27.08398,82.58617,27.07233,82.56796
143681,Perehta,822,659.0,26.7332345,81.0285377,26.74551,81.03904,26.7206,81.01515
178499,Kurthia,937,117.0,27.0724668,82.9030872,27.08044,82.9098701,27.0688299,82.8957801
178500,Barawngi,937,139.0,27.1065377,82.6550958,27.1117401,82.66057,27.0989501,82.6500499
178501,Majhawa Ram Prasad,937,279.0,27.1083428,82.647669,27.11296,82.6503599,27.10256,82.6439799
178502,Chirai Bujurg,937,218.0,27.1002643,82.6469938,27.1068899,82.6547199,27.09317,82.6414299
143687,Inderjeet Khera,822,118.0,26.7081076,81.0009199,26.71246,81.01195,26.6991099,80.9925601
178504,Dhaorahara,937,102.0,27.0949571,82.6294361,27.1030599,82.63696,27.0896801,82.6225401
178505,Naowa Gawn,937,330.0,27.0878573,82.6334883,27.09688,82.6437701,27.08321,82.6214599
178506,Chhapia Khas,937,137.0,27.0824318,82.6415919,27.0883399,82.64896,27.08076,82.63552
178507,Narkhoria,937,628.0,27.0724057,82.6456434,27.0831999,82.65817,27.0669301,82.6354999
143692,Khujehra,822,441.0,26.6840871,81.0368211,26.70084,81.0531199,26.67437,81.0188999
178509,Baidauli Urf Dubaoli,937,113.0,27.1086349,82.667247,27.1238499,82.67583,27.10325,82.65906
143694,Bhasanda,822,630.0,26.6581878,80.9511835,26.67279,80.9655499,26.63901,80.9360699
143695,Uttaar Gaon,822,715.0,26.639595,80.9345978,26.65447,80.95084,26.6293401,80.91953
178513,Kataria Nankar,937,137.0,27.1054433,82.6901934,27.11119,82.69753,27.0996099,82.6812998
143698,Bhadeshwa,822,560.0,26.6309147,80.8903523,26.6453099,80.9058,26.61593,80.8720601
143699,Kodara Raypur,822,433.0,26.6202909,80.9069472,26.63171,80.91351,26.60726,80.8907199
143700,Sisandi,822,1268.0,26.6217075,80.9290685,26.6427899,80.94371,26.6064499,80.9113799
178517,Amare Deeha,937,271.0,27.0938911,82.7212261,27.1033799,82.7294899,27.08614,82.71432
143702,Meenapur,822,181.0,26.3200913,79.8275733,26.3239794,79.8307585,26.3164017,79.8220467
178519,Sakatpur,937,126.0,27.1605189,77.8503067,27.1636121,77.853123,27.1587533,77.8469753
143704,Devareya (Bharsawa),822,522.0,26.5990333,80.9401268,26.61122,80.95644,26.5881501,80.9273001
