region_code,region_name,tehsil_code,num_households,centre_lat,centre_long,ne_lat, ne_long,sw_lat,sw_long
215508,Barhari Lais,1010,324.0,27.7486312,78.6143377,27.76024,78.6236,27.73726,78.6034699
191226,Parsia Banshi,962,145.0,26.3430873,83.8698323,26.3472199,83.87465,26.33774,83.8639599
135932,Nawan Gaon Kishori,800,128.0,27.801093,80.1958755,27.8093201,80.2066399,27.7969499,80.1880598
135933,Rampur Ramdas,800,113.0,27.798032,80.2140053,27.8038199,80.22071,27.79298,80.2055199
135934,Siktara,800,331.0,27.0410802,78.1193823,27.05763,78.13498,27.02534,78.10072
135935,Pipraula Kunwarpur,800,196.0,27.7775214,80.2112164,27.7842099,80.2198801,27.7709099,80.20511
191233,Kodra Thakur,962,131.0,26.3547845,83.9122567,26.3575399,83.92363,26.3472801,83.9058699
191235,Padri Tiwari,962,135.0,26.3464177,83.9135452,26.35135,83.92061,26.34115,83.90131
135940,Allipupur,800,336.0,27.7888465,80.1665806,27.7958599,80.17276,27.78448,80.1583501
191237,Badhapurwa,962,172.0,26.3361834,83.9148693,26.34125,83.91927,26.33123,83.9096499
135942,Barkheriya Jat,800,591.0,27.7781242,80.1747272,27.79047,80.1919399,27.7740199,80.1676227
135945,Salliya,800,1553.0,27.7704845,80.1735565,27.77627,80.18783,27.7599801,80.15898
135946,Dhakiapasi,800,145.0,27.8483059,80.2070328,27.8555301,80.21626,27.84146,80.1957199
215511,Allipur,1010,135.0,27.6887112,78.7384101,27.6903684,78.7403871,27.6869104,78.7365676
191244,Pipra Bhanmati,962,164.0,26.3318924,83.883082,26.3359699,83.8890501,26.3242501,83.8788801
135949,Bhaunapur,800,350.0,27.8412267,80.2502535,27.8488699,80.2663199,27.8254299,80.2331301
191248,Dumwalia,962,410.0,26.3285521,83.9082483,26.3364299,83.9161699,26.32328,83.9022401
135640,Mohammadpur Kalan,800,259.0,28.2524426,78.2746658,28.26112,78.28049,28.2452401,78.2678301
191251,Tulsi Bari,962,119.0,26.3277074,83.853929,26.33288,83.85931,26.3224601,83.84827
191252,Chordiha,962,173.0,26.332401,83.8605559,26.34014,83.8680199,26.3276999,83.8530599
