region_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
196002,0.181,0.012,0.476,0.169,0.048,0.084,0.0,0.03,0.0,0.036,0.958,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.404,0.0,0.006,0.0,0.584,0.006,0.0
196006,0.047,0.088,0.482,0.147,0.018,0.0,0.0,0.212,0.006,0.006,0.982,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.012,0.006,0.0,0.082,0.0,0.0
196010,0.086,0.0,0.277,0.066,0.051,0.055,0.004,0.457,0.004,0.402,0.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
196019,0.158,0.005,0.421,0.243,0.015,0.0,0.0,0.158,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.995,0.0,0.0
196020,0.306,0.0,0.508,0.129,0.0,0.04,0.0,0.016,0.0,0.177,0.823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.984,0.0,0.0
196021,0.044,0.037,0.37,0.17,0.044,0.074,0.0,0.259,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.993,0.0,0.0
163060,0.198,0.007,0.017,0.015,0.321,0.242,0.041,0.148,0.01,0.265,0.691,0.022,0.015,0.002,0.005,0.0,0.003,0.0,0.089,0.022,0.003,0.41,0.452,0.005,0.015
196031,0.134,0.005,0.421,0.17,0.079,0.013,0.004,0.167,0.007,0.038,0.959,0.001,0.0,0.001,0.0,0.009,0.0,0.001,0.003,0.011,0.004,0.0,0.971,0.001,0.0
199926,0.203,0.0,0.331,0.032,0.408,0.004,0.014,0.004,0.004,0.076,0.924,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.008,0.002,0.0,0.0,0.988,0.0,0.0
196039,0.211,0.002,0.36,0.045,0.01,0.002,0.01,0.357,0.002,0.017,0.98,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.007,0.0,0.978,0.0,0.002
196044,0.038,0.005,0.231,0.075,0.011,0.0,0.0,0.64,0.0,0.043,0.946,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.285,0.0,0.0,0.608,0.0,0.0
196045,0.529,0.034,0.319,0.076,0.0,0.017,0.008,0.017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.067,0.042,0.0,0.857,0.0,0.0
196048,0.308,0.0,0.427,0.109,0.043,0.0,0.0,0.114,0.0,0.204,0.796,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.005,0.005,0.0,0.967,0.0,0.0
163065,0.052,0.0,0.005,0.058,0.251,0.304,0.016,0.314,0.0,0.398,0.597,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.031,0.921,0.037,0.0
196056,0.007,0.0,0.56,0.097,0.007,0.0,0.0,0.328,0.0,0.276,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.007,0.015,0.0,0.963,0.007,0.0
196062,0.228,0.0,0.497,0.034,0.172,0.0,0.0,0.062,0.007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.007,0.014,0.007,0.0,0.966,0.0,0.0
163068,0.431,0.0,0.269,0.008,0.277,0.008,0.0,0.008,0.0,0.469,0.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008,0.015,0.108,0.846,0.015,0.0
163106,0.005,0.005,0.005,0.01,0.516,0.01,0.005,0.438,0.005,0.391,0.609,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.005,0.047,0.161,0.776,0.0,0.0
163070,0.179,0.0,0.038,0.022,0.19,0.228,0.018,0.326,0.0,0.299,0.556,0.002,0.0,0.0,0.143,0.0,0.002,0.004,0.275,0.022,0.087,0.06,0.547,0.002,0.0
199936,0.135,0.001,0.461,0.097,0.063,0.131,0.042,0.063,0.007,0.126,0.865,0.004,0.0,0.003,0.001,0.003,0.0,0.0,0.118,0.018,0.007,0.003,0.851,0.0,0.0
162972,0.253,0.013,0.407,0.047,0.067,0.107,0.007,0.1,0.0,0.413,0.58,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
199945,0.479,0.0,0.417,0.002,0.024,0.066,0.004,0.009,0.0,0.049,0.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.162,0.0,0.0,0.833,0.0,0.0
163082,0.03,0.0,0.01,0.03,0.66,0.0,0.0,0.27,0.0,0.06,0.93,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.12,0.87,0.0,0.0
163089,0.168,0.015,0.083,0.022,0.487,0.156,0.011,0.06,0.0,0.281,0.717,0.001,0.0,0.0,0.0,0.003,0.0,0.001,0.032,0.001,0.011,0.073,0.87,0.008,0.0
